"Name","Address","Website","Description","Type","Cuisine","Hours","Price Range"
"The Mackenzie Room","415 Powell St, Vancouver, BC V6A 1G7","themackenzieroom.com","Hip farm-to-table restaurant in a rustic-chic space with a changing chalkboard menu. Creative share plates using local ingredients, friendly service, unpretentious vibe.","Contemporary Casual","Farm-to-Table / New Canadian","Tue–Sat 5:30 PM – late; closed Sun & Mon","$$$ (small plates $15–$30)"
"L’Abattoir","217 Carrall St, Vancouver, BC V6B 2J2","labattoir.ca","Gastown restaurant merging French-inspired West Coast cuisine with a stylish bar program. Refined cooking, chic ambiance, popular for duck confit and brunch French toast.","Upscale Bistro/Bar","French Pacific Northwest","Daily 5:30 PM – 10:00 PM; Weekend brunch 10:00 AM – 2:00 PM","$$$ (mains ~$30–$40)"
"PiDGiN","350 Carrall St, Vancouver, BC V6B 2J3","pidginyvr.com","Trendy Gastown spot serving French-Asian fusion small plates and inventive cocktails. Known for pork belly, miso-sake sablefish, truffle dashi custard, and a modern artsy interior.","Trendy Bistro/Bar","French-Asian Fusion","Mon–Sat 5:00 PM – 12:00 AM; Sun 5:00 PM – 11:00 PM","$$$ (plates $15–$25)"
"Boulevard Kitchen & Oyster Bar","845 Burrard St (Sutton Place Hotel), Vancouver, BC V6Z 2K6","boulevardvancouver.ca","Elegant seafood-centric fine dining with a modern vibe. Luxurious raw bar, expertly prepared seafood, and premium steaks. Extensive wine program; Michelin recommended.","Fine Dining / Oyster Bar","Seafood & Continental","Daily 11:30 AM – 11:00 PM (weekend brunch 11:00 AM – 3:00 PM)","$$$$ (mains $35–$60)"
"Minami","1118 Mainland St, Vancouver, BC V6B 2T9","minamirestaurant.com","Stylish Yaletown restaurant famous for Aburi (flame-seared) sushi and creative Japanese-West Coast fusion. Sister to Miku, offering pressed oshi sushi and inventive cocktails.","Upscale Casual (Izakaya/Sushi)","Japanese (Aburi Sushi, Fusion)","Daily 11:30 AM – 3:00 PM; 5:00 PM – 10:00 PM","$$$ (sushi ~$18+, mains $25+)"
"Miku","200 Granville St #70, Vancouver, BC V6C 1S4","mikurestaurant.com","High-end Japanese dining overlooking the waterfront. Pioneers of Aburi sushi, with scenic harbor views, indulgent tasting menus, and artful presentations of sashimi and nigiri.","Fine Dining (Japanese)","Japanese (Sushi & Seafood)","Mon–Fri 11:30 AM – 10:00 PM; Sat–Sun 5:00 PM – 10:00 PM","$$$$ (platter ~$30+, tasting ~$100)"
"Tojo’s Restaurant","1133 W Broadway #3, Vancouver, BC V6H 1G1","tojos.com","Iconic Japanese fine dining by Chef Hidekazu Tojo, credited with inventing the California roll. Offers omakase experiences blending classic technique with Pacific Northwest influences.","Fine Dining (Sushi Bar)","Japanese (Sushi & Omakase)","Tue–Sat 5:00 PM – 10:00 PM; closed Sun & Mon","$$$$ (omakase $150+)"
"Black + Blue","1032 Alberni St, Vancouver, BC V6E 1A3","blackandblue.ca","Stylish modern steakhouse featuring premier cuts and a glamorous rooftop patio, in-house meat locker, and an extensive wine list. A go-to for wagyu carpaccio, tomahawk steaks, and a high-end vibe.","Upscale Steakhouse","Steakhouse / Contemporary Grill","Daily 11:30 AM – 11:00 PM","$$$$ (steaks $45–$100+)"
"Gotham Steakhouse & Bar","615 Seymour St, Vancouver, BC V6B 3K3","gothamsteakhouse.com","Classic New York-style steakhouse in a 1930s art deco building. Known for prime USDA steaks, old-school luxury, and live jazz piano in the lounge.","Fine Dining Steakhouse","Steakhouse","Mon–Sat 4:30 PM – 11:00 PM; Sun 4:30 PM – 10:00 PM","$$$$ (steaks $50+)"
"Jam Café","556 Beatty St, Vancouver, BC V6B 2L3","jamcafes.com","All-day brunch hotspot from Victoria with hearty comfort food. Known for red velvet pancakes, fried chicken Benedict, and long morning line-ups.","Casual Café/Diner","Canadian Comfort (All-Day Breakfast)","Daily 8:00 AM – 3:00 PM","$$ (dishes ~$15–$20)"
"Café Medina","780 Richards St, Vancouver, BC V6B 3A4","medinacafe.com","Chic downtown brunch café famed for Belgian waffles and Mediterranean-inspired dishes, like the signature tagine or lavender mocha. Expect weekend waits.","Casual Café","Brunch (Mediterranean Fusion)","Daily 9:00 AM – 3:00 PM","$$ (brunch ~$17; waffles ~$5)"
"The Naam","2724 W 4th Ave, Vancouver, BC V6K 1R1","thenaam.com","Vancouver’s oldest vegetarian restaurant (since 1968). Known for 24/7 comfort food pre-pandemic, Miso Gravy bowls, veggie burgers, and a bohemian, laid-back vibe.","Casual Café/Restaurant","Vegetarian / Vegan","Daily 11:00 AM – 11:00 PM","$$ (entrees ~$15–$20)"
"MeeT on Main","4288 Main St, Vancouver, BC V5V 3P9","meetrestaurants.com","Trendy plant-based comfort food chain. 100% vegan/vegetarian dishes like chili cauliflower wings, vegan burgers, mac & cheese poutine in a fun, casual atmosphere.","Casual Bistro","Vegetarian / Vegan Comfort Food","Daily 11:30 AM – 10:00 PM","$$ (mains ~$16–$20)"
"Nuba (Gastown)","207 W Hastings St, Vancouver, BC V6B 1H7","nuba.ca","Popular for fresh Lebanese cuisine: hummus, baba ganoush, falafel, grilled meats, and crispy cauliflower. Cozy brick-walled space serving healthy, flavorful Middle Eastern dishes.","Casual Restaurant","Lebanese / Middle Eastern","Mon–Sat 11:30 AM – 10:00 PM; Sun 5:00 PM – 9:00 PM","$$ (mezze $8–$15, mains ~$18)"
"Tacofino (Gastown Burrito Bar)","15 W Cordova St, Vancouver, BC V6B 1C8","tacofino.com","Baja-inspired tacos and burritos from a famed Tofino food truck. Known for fish tacos with fresh Pacific cod, crispy chicken burritos, nachos, and bold house-made hot sauces.","Casual Counter-Service","Mexican Fusion (Tacos/Burritos)","Daily 11:00 AM – 10:00 PM","$–$$ (tacos ~$6, burritos ~$14)"
"Ramen Danbo","1833 W 4th Ave, Vancouver, BC V6J 1M4","ramendanbo.com","Hakata-style tonkotsu ramen from Fukuoka, Japan, offering customizable bowls (noodle firmness, broth richness, spice). Known for its creamy pork broth and vegan options.","Casual Eatery","Japanese (Ramen)","Daily 11:00 AM – 10:00 PM","$ (~$12–$15 per bowl)"
"Marutama Ra-Men","780 Bidwell St, Vancouver, BC V6G 2J6","marutama.ca","Creamy chicken-broth ramen (toripaitan) from Japan. Rich, opaque chicken soup, house-made noodles, known as a top alternative to pork-based ramen in Vancouver.","Casual Eatery","Japanese (Ramen)","Daily 11:30 AM – 10:00 PM","$ (~$14 per bowl, toppings extra)"
"Peaceful Restaurant (Broadway)","532 W Broadway, Vancouver, BC V5Z 1E9","peacefulrestaurant.com","Northern Chinese (Shaanxi) noodles, Xi’an-style pancakes, and famous beef rolls. Featured on Diners, Drive-Ins & Dives. Quick service, always bustling.","Casual Family Restaurant","Chinese (Shaanxi)","Daily 11:00 AM – 10:00 PM","$ (noodle dishes ~$12)"
"Sal y Limón","701 Kingsway, Vancouver, BC V5T 3K6","saly-limon.com","Authentic Mexican street food featuring tacos (al pastor, cochinita, fish), giant tortas, and homemade salsas. Casual, family-friendly vibe and bold flavors.","Casual Taqueria","Mexican","Mon–Thu 11:00 AM – 9:00 PM; Fri–Sun 11:00 AM – 10:00 PM","$ (tacos ~$3)"
"Japadog (Food Stand)","899 Burrard St (corner of Smithe), Vancouver, BC","japadog.com","Famous street cart fusing Japanese flavors with hot dogs (Terimayo, Kurobuta pork). A must-try Vancouver experience often featuring long lines and unique toppings.","Food Truck/Street Cart","Japanese Fusion / Street Food","Varies by cart; ~11:00 AM – 6:00 PM","$ (~$7–$9 per hot dog)"
"Dark Table","2611 W 4th Ave, Vancouver, BC V6K 1P8","darktable.ca","Dining-in-the-dark experience with a surprise menu. Served by blind or visually impaired staff. Focuses on taste, smell, and texture in pitch-black setting.","Niche Dining Experience","Contemporary / Chef’s Surprise","Tue–Sun seatings from 5:45 PM; closed Mon","$$$ (~$49 prix fixe)"
"Storm Crow Alehouse","1619 W Broadway, Vancouver, BC V6J 1W9","stormcrow.com","A “nerd bar” with board games, sci-fi memorabilia, playful pub fare, and dice roll drinks. Trivia nights, themed menu items, rotating local beers, and an eccentric geek vibe.","Themed Pub","Pub Food / Comfort Food","Mon–Thu 4:00 PM – 11:00 PM; Fri 4:00 PM – 1:00 AM; Sat 10:00 AM – 1:00 AM; Sun 10:00 AM – 11:00 PM","$$ (burgers ~$17)"
"Alibi Room","157 Alexander St, Vancouver, BC V6A 1B8","alibi.ca","Beer-focused Gastropub with 50+ taps of local craft brews and elevated comfort food. Warm brick interior, communal tables, rotating beer list, popular for flights.","Gastropub / Beer Bar","Pub / New Canadian","Daily 5:00 PM – late (4:00 PM weekends)","$$ (pints ~$7, mains ~$15–$20)"
"Brassneck Brewery","2148 Main St, Vancouver, BC V5T 3C5","brassneck.ca","A Main Street neighborhood brewery with reclaimed-wood decor, cozy taproom, ever-changing small-batch beers (Passive Aggressive Pale Ale is a favorite).","Craft Brewery & Tasting Room","N/A","Mon–Thu 2:00 PM – 11:00 PM; Fri–Sat 12:00 PM – 11:00 PM; Sun 12:00 – 9:00 PM","$ (flights ~$8, pints ~$6)"
"Main Street Brewing Company","261 E 7th Ave, Vancouver, BC V5T 0B7","mainstreetbeer.ca","Housed in a historic 1913 building, this brewery has a beer-hall feel and offers favorites like Naked Fox IPA. Serves pretzels, wings, and classic West Coast styles.","Craft Brewery & Tasting Room","N/A","Daily 12:00 PM – 10:00 PM (to 11:00 PM Fri/Sat)","$ (pints ~$6)"
"33 Acres Brewing Co.","15 W 8th Ave, Vancouver, BC V5Y 1M8","33acresbrewing.com","Trendy, minimalist brewery/café known for pale ales, coffee, brunch items, and an Instagram-worthy all-white interior. Popular with the hip crowd.","Craft Brewery & Cafe","N/A","Mon–Thu 8:00 AM – 11:00 PM; Fri 8:00 AM – 12 AM; Sat 9 AM – 12 AM; Sun 9 AM – 11 PM","$ (beer ~$5–$7, brunch ~$12)"
"Faculty Brewing Co.","1830 Ontario St, Vancouver, BC V5T 2W6","facultybrewing.com","A microbrewery with an educational twist; beers have course numbers. Cozy neighborhood spot for sessionable brews and experimental collaborations.","Nano-Brewery & Tasting Room","N/A","Mon–Thu 2:00 PM – 9:00 PM; Fri 2:00–11:00 PM; Sat 12:00–11:00 PM; Sun 12:00–9:00 PM","$ (pints ~$6)"
"Strange Fellows Brewing","1345 Clark Dr, Vancouver, BC V5L 3K9","strangefellowsbrewing.com","East Van brewery known for sour beers, barrel-aged brews, rotating art exhibits, and a black-walled tasting room adorned with quirky decor.","Craft Brewery & Tasting Room","N/A","Sun–Thu 12:00 PM – 10:00 PM; Fri–Sat 12:00 PM – 11:00 PM","$ (glasses ~$5–$7)"
"Parallel 49 Brewing Company","1950 Triumph St, Vancouver, BC V5L 1K5","parallel49brewing.com","One of Vancouver’s largest craft breweries. Creative labels and names (Trash Panda IPA), lively beer hall, wide variety from lagers to strong ales.","Craft Brewery & Beer Hall","N/A","Sun–Thu 11:00 AM – 11:00 PM; Fri–Sat 11:00 AM – 1:00 AM","$ (pints ~$6)"
"Steamworks Brewpub","375 Water St, Vancouver, BC V6B 5C6","steamworks.com","Gastown brewpub operating since 1995, powered by a steam system. Multi-level space, broad menu, and a flagship Pilsner and Pale Ale.","Brewpub & Restaurant","N/A","Mon–Thu 11:30 AM–12:00 AM; Fri 11:30 AM–1:00 AM; Sat 11:00 AM–1:00 AM; Sun 11:00 AM–12:00 AM","$$ (pub fare ~$15–$25)"
"Storm Brewing","310 Commercial Dr, Vancouver, BC V5L 3V6","stormbrewing.org","One of Vancouver’s oldest microbreweries, famed for experimental ‘Brainstorm’ flavors. Gritty, industrial space with by-donation tastings and no formal lounge.","Independent Brewery","N/A","Tue–Sun 12:00 PM–6:00 PM; closed Mon","$ (samples by donation)"
"R&B Brewing Co. & Pizza Ale House","54 E 4th Ave, Vancouver, BC V5T 1E8","rnbbrewing.com","Veteran Mount Pleasant brewery with a cozy Ale House serving award-winning beers and in-house stone-fired pizzas. Relaxed atmosphere, live music events.","Brewery & Pizzeria","N/A","Daily 12:00 PM – 11:00 PM","$ (pints ~$6, pizzas ~$15)"
"Red Truck Beer Company","295 E 1st Ave, Vancouver, BC V5T 1A7","redtruckbeer.com","Retro ‘truck stop’ themed brewery with a spacious taproom, comfort food menu, and classic easy-drinking lagers, ales, and IPAs. Hosts summer concerts.","Brewery & Restaurant","N/A","Sun–Wed 11:00 AM – 11:00 PM; Thu–Sat 11:00 AM – 1:00 AM","$$ (pints ~$7, mains ~$12–$18)"
"Cayenne Bistro & Grill","7677 6th St., Burnaby, BC V3N 3M8","cayennebistro.com","Voted Burnaby’s Best Overall (2023). Cozy, understated East African–Indian fusion known for pili-pili chicken, goat curry, Afro-Indian spice blends.","Casual Bistro","East African & Indian Fusion","Tue–Sun 11:00 AM – 9:00 PM; closed Mon","$$ (mains ~$15–$20)"
"Anton’s Pasta Bar","4260 Hastings St., Burnaby, BC V5C 2J6","antonspastabar.com","Legendary Italian spot famous for giant portions and line-ups. Heaping plates of pasta in countless sauces. Finish one for an ‘I Ate the Whole Thing’ pen.","Casual Family Restaurant","Italian (Pasta)","Daily 11:30 AM–2:30 PM; 4:30 PM–9:30 PM","$$ (pasta ~$18, huge servings)"
"Jinya Ramen Bar (Brentwood)","4567 Lougheed Hwy, Burnaby, BC V5C 3Z6","jinya-ramenbar.com","Part of a global ramen chain. Rich 20-hour tonkotsu broth, favorites like Spicy Chicken Ramen and Tonkotsu Black in a modern, sleek setting.","Casual Restaurant","Japanese (Ramen)","Daily 11:00 AM – 10:00 PM","$ (ramen ~$13–$15)"
"Me-n-Ed’s Pizza Parlor (Burnaby)","7110 Hall Ave, Burnaby, BC V5E 0A6","meneds.ca","Old-school pizza parlor with thin-crust, hand-crafted pies, a nostalgic family vibe, and inventive pizzas like Pierogi or Dill Pickle. In Burnaby 45+ yrs.","Casual Family Pizzeria","Italian-American (Pizza)","Sun–Thu 11:30 AM–9:00 PM; Fri–Sat 11:30 AM–10:00 PM","$$ (medium ~$20)"
"Burnaby Palace Restaurant","3110 Boundary Rd, Burnaby, BC V5M 4A2","burnabypalace.ca","Family-run Cantonese spot, Burnaby’s Best Chinese (2023). Modern take on classic dishes like honey-garlic spareribs, stir-fries, steamed buns, friendly service.","Casual (Family-style)","Chinese (Cantonese)","Tue–Sun 11:30 AM–9:30 PM; closed Mon","$$ (~$13–$18 per dish)"
"Chad Thai","4010 E Hastings St, Burnaby, BC V5C 2H9","chadthai.ca","Cozy, no-frills Thai restaurant known for sweet-sour-salty-spicy flavors. Winning Best Thai in Burnaby, with cashew chicken, green papaya salad, khao gaeng curries.","Casual Restaurant","Thai","Tue–Sun 11:30 AM–9:00 PM; closed Mon","$$ (mains ~$14)"
"Cockney Kings Fish & Chips","6574 Hastings St, Burnaby, BC V5B 1S2","cockneykings.ca","Classic fish & chips shop beloved for crispy battered cod, halibut, or salmon, with thick-cut chips. All-you-can-eat deals and maritime-themed decor.","Casual Eatery","Seafood (Fish & Chips)","Daily 11:00 AM–9:00 PM","$ (1-piece ~$11, halibut ~$18)"
"Saffron Indian Cuisine","4300 Kingsway #5, Burnaby, BC V5H 1Z8","saffroncuisine.ca","Elegant Indian restaurant known for tandoori sizzlers, rich curries, and a popular buffet. Burnaby favorite for North Indian flavors and warm ambience.","Casual / Upscale Casual","Indian (North Indian)","Daily 11:30 AM–2:30 PM; 5:00 PM–10:00 PM","$$ (curries ~$15)"
"The Dolar Shop (Station Square)","6078 Silver Dr #124, Burnaby, BC V5H 0H5","dolarshop.com","Upscale Chinese hot pot experience featuring premium wagyu, fresh seafood, and personal simmering pots. Sleek setting, attentive service, open late.","Upscale Restaurant","Chinese (Hot Pot)","Daily 11:30 AM–1:00 AM","$$$ (~$40–$60 per person)"
"OEB Breakfast Co. (Brentwood)","4525 Lougheed Hwy, Burnaby, BC V5C 3Z6","eatoeb.com","Buzzing upscale-breakfast chain. Popular for indulgent egg dishes (truffle Benny, lobster crêpes) and breakfast poutines. Awarded Best Brunch in Burnaby.","Casual Café/Brunch","Breakfast/Brunch (Canadian)","Mon–Fri 7:00 AM–2:30 PM; Sat–Sun 7:00 AM–3:00 PM","$$ ($17–$25 per dish)"
"Sfinaki Greek Taverna","4061 Hastings St, Burnaby, BC V5C 2J1","sfinaki.ca","Family-run Greek taverna. Voted Burnaby’s top Greek multiple years. Known for generous homestyle dishes like souvlaki, meze platters, and warm hospitality.","Casual Family Restaurant","Greek","Tue–Sun 11:30 AM–9:00 PM; closed Mon","$$ ($18–$25 mains)"
"Cioffi’s Cucina (and Meat Market)","4150 Hastings St, Burnaby, BC V5C 2J3","cioffisgroup.com","Italian deli & sandwich shop famous for thick, hearty sandwiches (porchetta, meatball subs). Premium ingredients from adjacent butcher/grocer.","Deli & Sandwich Shop","Italian","Mon–Sat 9:00 AM–6:00 PM; Sun 10:00 AM–5:00 PM","$ (~$12–$15 per sandwich)"
"White Spot (Lougheed)","4129 Lougheed Hwy, Burnaby, BC","whitespot.ca","Iconic BC-born family chain known for Triple-O burgers, comfort classics, and Pirate Paks for kids. Beloved for decades in Burnaby.","Family Casual Restaurant","Canadian/American Diner","Daily 8:00 AM–10:00 PM (varies by location)","$$ (burgers ~$15, mains ~$18–$25)"
"Atlas Steak + Fish","4331 Dominion St, Burnaby, BC V5G 1C7","atlassteakandfish.com","Upscale steakhouse in Grand Villa Casino, known for date nights, high-quality dry-aged steaks, fresh seafood, and a romantic modern lounge vibe.","Fine Dining Steakhouse","Steak & Seafood","Daily 5:00 PM–10:00 PM","$$$$ (steaks ~$40–$60)"
"The Viet Noodle Guy","1902 Rosser Ave, Burnaby, BC V5C 5E1","thevietnoodleguy.ca","Friendly Vietnamese specializing in flavorful, long-simmered pho and lemongrass meats. Awarded Burnaby’s Best Vietnamese for comforting bowls on rainy days.","Casual Restaurant","Vietnamese","Tue–Sun 11:00 AM–9:00 PM; closed Mon","$ (large pho ~$13)"
"Cazba Persian Grill (Brentwood)","4567 Lougheed Hwy #10, Burnaby, BC V5C 3Z6","N/A (check social media)","Casual counter-service serving Iranian comfort food: grilled kabobs, saffron rice, aromatic stews. Big portions, bold flavors, great value.","Casual Quick-Service","Persian/Iranian","Daily 11:00 AM–9:00 PM","$$ (~$15 kabob plates)"
"Hart House Restaurant","6664 Deer Lake Ave, Burnaby, BC V5E 4H3","harthouserestaurant.com","Fine dining gem in a Tudor-style mansion on Deer Lake, with refined West Coast cuisine, beautiful gardens, and a heritage ambiance. Offers brunch and afternoon tea.","Fine Dining","Pacific Northwest/Continental","Wed–Sun Dinner 5:00 PM–10:00 PM; Wed–Fri Lunch 11:30 AM–2:00 PM; Weekend brunch 10:00 AM–2:00 PM","$$$$ ($35–$50 mains)"
"Chez Christophe Chocolaterie Patisserie","4717 Hastings St, Burnaby, BC V5C 2K8","chez-christophe.ca","Acclaimed French bakery offering croissants (including croissant cubes), chocolates, artistic cakes. Voted Best Bakery & Pastries in Burnaby.","Bakery & Cafe","French Patisserie/Chocolaterie","Tue–Sat 8:00 AM–5:00 PM; Sun 9:00 AM–5:00 PM; closed Mon","$ (croissants ~$4, cakes ~$30+)"
"Dageraad Brewing","3191 Thunderbird Cres #114, Burnaby, BC V5A 3G1","dageraadbrewing.com","Award-winning Belgian-style brewery (Canada’s 2018 Brewery of the Year). Cozy tasting room offering dubbels, tripels, witbiers, and complex yeast-driven ales.","Craft Brewery & Tasting Room","N/A","Wed–Thu 2:00 PM–9:00 PM; Fri 2:00–10:00 PM; Sat 12:00–10:00 PM; Sun 12:00–7:00 PM","$ (glasses ~$5–$7)"
